"version";"WB";"Period";"scenario";"Biological";"Supporting";"EQR";"Status";"Worst_Biological";"Worst_Supporting";"sup_sommer";"sup_vinter";"sup_org"
"2018";"0101020603-C";"2017-2019";"Pristine";0.599985618979653;NA;0.599985618979653;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101020603-C";"2017-2019";"Scenario A";0.58288613717593;NA;0.58288613717593;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101020603-C";"2017-2019";"Scenario B";0.586528618276388;NA;0.586528618276388;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101020701-5-C";"2017-2019";"baseline";0.562516237697239;NA;0.562516237697239;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020701-5-C";"2017-2019";"Pristine";0.579080380749462;NA;0.579080380749462;"Mod";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101020701-5-C";"2017-2019";"Scenario A";0.570884974202409;NA;0.570884974202409;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020701-5-C";"2017-2019";"Scenario B";0.576111523270333;NA;0.576111523270333;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020702-1-C";"2017-2019";"baseline";0.552877337303223;NA;0.552877337303223;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101020702-1-C";"2017-2019";"Pristine";0.590322215215667;NA;0.590322215215667;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101020702-1-C";"2017-2019";"Scenario A";0.556468105862184;NA;0.556468105862184;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101020702-1-C";"2017-2019";"Scenario B";0.571573004836894;NA;0.571573004836894;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101020702-2-C";"2017-2019";"baseline";0.568891529676784;NA;0.568891529676784;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020702-2-C";"2017-2019";"Pristine";0.575244321971488;NA;0.575244321971488;"Mod";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101020702-2-C";"2017-2019";"Scenario A";0.570497100401248;NA;0.570497100401248;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020702-2-C";"2017-2019";"Scenario B";0.573919373289718;NA;0.573919373289718;"Mod";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101020801-C";"2017-2019";"baseline";0.53374124348438;NA;0.53374124348438;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020801-C";"2017-2019";"Pristine";0.567267302915656;NA;0.567267302915656;"Mod";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101020801-C";"2017-2019";"Scenario A";0.564109940193513;NA;0.564109940193513;"Mod";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101020801-C";"2017-2019";"Scenario B";0.564467569729453;NA;0.564467569729453;"Mod";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101020802-C";"2017-2019";"baseline";0.586092168106587;NA;0.586092168106587;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020802-C";"2017-2019";"Pristine";0.603430376671491;NA;0.603430376671491;"Good";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101020802-C";"2017-2019";"Scenario A";0.598072788734628;NA;0.598072788734628;"Mod";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101020802-C";"2017-2019";"Scenario B";0.600921668952219;NA;0.600921668952219;"Good";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101020900-C";"2017-2019";"baseline";0.621432180853805;NA;0.621432180853805;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020900-C";"2017-2019";"Pristine";0.633664327458123;NA;0.633664327458123;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020900-C";"2017-2019";"Scenario A";0.633307763498758;NA;0.633307763498758;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020900-C";"2017-2019";"Scenario B";0.633175784826558;NA;0.633175784826558;"Good";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101021000-1-C";"2017-2019";"baseline";0.650829895663677;NA;0.650829895663677;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101021000-1-C";"2017-2019";"Pristine";0.676705597097563;NA;0.676705597097563;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101021000-1-C";"2017-2019";"Scenario A";0.690134304767395;NA;0.690134304767395;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101021000-1-C";"2017-2019";"Scenario B";0.71486297048808;NA;0.71486297048808;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101021000-2-C";"2017-2019";"baseline";0.625805339643172;NA;0.625805339643172;"Good";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101021000-2-C";"2017-2019";"Pristine";0.626125136502846;NA;0.626125136502846;"Good";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101021000-2-C";"2017-2019";"Scenario A";0.626119433490829;NA;0.626119433490829;"Good";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101021000-2-C";"2017-2019";"Scenario B";0.625818696022438;NA;0.625818696022438;"Good";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101021100-C";"2017-2019";"baseline";0.672042740750064;NA;0.672042740750064;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101021100-C";"2017-2019";"Pristine";0.688664642390381;NA;0.688664642390381;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101021100-C";"2017-2019";"Scenario A";0.661481581085999;NA;0.661481581085999;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101021100-C";"2017-2019";"Scenario B";0.671431959197455;NA;0.671431959197455;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101030101-1-C";"2017-2019";"baseline";1;NA;1;"High";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101030101-1-C";"2017-2019";"Pristine";0.952962982820868;NA;0.952962982820868;"High";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101030101-1-C";"2017-2019";"Scenario A";0.979355946995935;NA;0.979355946995935;"High";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101030101-1-C";"2017-2019";"Scenario B";0.971144356223077;NA;0.971144356223077;"High";"Planteplankton";"Eutrofiering";NA;NA;NA
"2018";"0101030101-6-C";"2017-2019";"baseline";0.552789834067773;NA;0.552789834067773;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101030101-6-C";"2017-2019";"Pristine";0.665408624827126;NA;0.665408624827126;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101030101-6-C";"2017-2019";"Scenario A";0.575872505453842;NA;0.575872505453842;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101030101-6-C";"2017-2019";"Scenario B";0.589272356087608;NA;0.589272356087608;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101030102-1-C";"2017-2019";"baseline";0.540855322592027;NA;0.540855322592027;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101030102-1-C";"2017-2019";"Pristine";0.586045909001475;NA;0.586045909001475;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101030102-1-C";"2017-2019";"Scenario A";0.55057600148145;NA;0.55057600148145;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101030102-1-C";"2017-2019";"Scenario B";0.557667006652012;NA;0.557667006652012;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101030102-2-C";"2017-2019";"baseline";0.576883178806948;NA;0.576883178806948;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101030102-2-C";"2017-2019";"Pristine";0.58504098311518;NA;0.58504098311518;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101030102-2-C";"2017-2019";"Scenario A";0.585459456239316;NA;0.585459456239316;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
