"WB";"Period";"scenario";"Biological";"Supporting";"EQR";"Status";"Worst_Biological";"Worst_Supporting"
"0101020102-2-C";"2017-2019";"Scenario A";0.896349828004735;0.769738396270559;0.769738396270559;"Good";"Planteplankton";"NO3-N sommer"
"0101020102-2-C";"2017-2019";"Scenario B";0.912201741049501;0.795217832184857;0.795217832184857;"Good";"Planteplankton";"Oksygen"
"0101020104-C";"2017-2019";"baseline";0.79442938561503;0.798412063588818;0.79442938561503;"Good";"Planteplankton";"Siktdyp"
"0101020104-C";"2017-2019";"DIN100pc";0.830850859118824;0.844997064743819;0.830850859118824;"High";"Planteplankton";"Siktdyp"
"0101020104-C";"2017-2019";"DINP100pc";0.830846496930819;0.849610676884065;0.830846496930819;"High";"Planteplankton";"Siktdyp"
"0101020104-C";"2017-2019";"DINTSM100pc";0.864817990306698;0.859640162046132;0.864817990306698;"High";"Planteplankton";"TP vinter"
"0101020104-C";"2017-2019";"NTSM100pc";0.893216281723242;0.860741582857716;0.893216281723242;"High";"Planteplankton";"TP vinter"
"0101020104-C";"2017-2019";"Scenario A";0.934428894277871;0.812390270387095;0.934428894277871;"High";"Planteplankton";"Siktdyp"
"0101020104-C";"2017-2019";"Scenario B";0.943339579433882;0.832797401442384;0.943339579433882;"High";"Planteplankton";"Siktdyp"
"0101020105-C";"2017-2019";"baseline";0.78170447887421;0.787586252058937;0.78170447887421;"Good";"Planteplankton";"Siktdyp"
"0101020105-C";"2017-2019";"DIN100pc";0.794966292440227;0.846227576265563;0.794966292440227;"Good";"Planteplankton";"Siktdyp"
"0101020105-C";"2017-2019";"DINP100pc";0.794472508435187;0.851393890218023;0.794472508435187;"Good";"Planteplankton";"Siktdyp"
"0101020105-C";"2017-2019";"DINTSM100pc";0.862128600857979;0.85654817625901;0.862128600857979;"High";"Planteplankton";"Siktdyp"
"0101020105-C";"2017-2019";"NTSM100pc";0.877543451839565;0.8574535596957;0.877543451839565;"High";"Planteplankton";"Siktdyp"
"0101020105-C";"2017-2019";"Scenario A";0.911619869668346;0.79899771023612;0.79899771023612;"Good";"Planteplankton";"Siktdyp"
"0101020105-C";"2017-2019";"Scenario B";0.918750864475264;0.822054033210663;0.918750864475264;"High";"Planteplankton";"Siktdyp"
"0101020200-1-C";"2017-2019";"baseline";0.8269752731474;0.780469859543177;0.780469859543177;"Good";"Planteplankton";"Oksygen"
"0101020200-1-C";"2017-2019";"DIN100pc";0.836284240370635;0.845931782661479;0.836284240370635;"High";"Planteplankton";"Oksygen"
"0101020200-1-C";"2017-2019";"DINP100pc";0.838046549691935;0.850189667305998;0.838046549691935;"High";"Planteplankton";"Oksygen"
