EUVANNFOREKOMSTID;VANNFOREKOMSTID;VANNFOREKOMSTNAVN
NO0130000031-1-C;0130000031-1-C;Vestergapet-ytre
NO0365010502-C;0365010502-C;Lonkanfjorden-ytre
NO0401021101-C;0401021101-C;Sagfjorden-indre
NO0120020400-2-C;0120020400-2-C;Oksefjorden-indre
NO0361030201-C;0361030201-C;Innervisten
NO0421020100-C;0421020100-C;Rolvsøysundet
NO0132000030-C;0132000030-C;Mandal-Lindesnes
NO0363042200-C;0363042200-C;Indrefjorden
NO0101010406-C;0101010406-C;Skjelsbusundet
NO0301010201-C;0301010201-C;Syltefjorden-indre
NO0110000036-C;0110000036-C;Jomfrulandsrenna
NO0280030100-C;0280030100-C;Lågøyfjorden
NO0363020800-C;0363020800-C;Nedrevatnet
NO0401020900-C;0401020900-C;Lavangen
NO0242020702-C;0242020702-C;Randøy vest
NO0303010200-C;0303010200-C;Kornstadfjorden
NO0130010201-C;0130010201-C;Randøysund-ytre
NO0362030601-C;0362030601-C;Kista
NO0282012000-C;0282012000-C;Innvikfjorden
NO0364020300-1-C;0364020300-1-C;Hellmofjorden-indre
NO0341010700-2-C;0341010700-2-C;Øltappen
NO0121020500-2-C;0121020500-2-C;Blindleia - Hellesund
NO0280020100-1-C;0280020100-1-C;Sognefjorden
NO0364021202-3-C;0364021202-3-C;Stor-Kobbvika
NO0341010500-C;0341010500-C;Lokkaren
NO0261040400-C;0261040400-C;Dalafjorden - Vågane
NO0364020900-C;0364020900-C;Stefjorden
NO0341010700-1-C;0341010700-1-C;Blikkengfjorden
NO0364010200-C;0364010200-C;Flagsundet
NO0365011000-C;0365011000-C;Roksøyfjorden
NO0101040200-1-C;0101040200-1-C;Sandefjordsfjorden-indre
NO0364021201-1-C;0364021201-1-C;Tauselvhavet
NO0302011003-C;0302011003-C;Flatevågen
NO0363020500-C;0363020500-C;Skjærstadfjorden
NO0242011402-C;0242011402-C;Lysefjorden-indre
NO0281010400-C;0281010400-C;Tansøyosen
NO0101020104-C;0101020104-C;Krokstadfjorden
NO0303010400-C;0303010400-C;Freifjorden
NO0280020601-C;0280020601-C;Indrefjorden
NO0422021300-C;0422021300-C;Skittenfjorden
NO0362020203-C;0362020203-C;Silavågen
NO0120030204-C;0120030204-C;Merdøfjorden - Havsøyfjorden
NO0130010301-2-C;0130010301-2-C;Østergapet-indre
NO0362020202-C;0362020202-C;Sjona-ytre
NO0365011400-C;0365011400-C;Tranesvågen
NO0420040300-C;0420040300-C;Sandfjorden
NO0280020402-C;0280020402-C;Fuglset-ytre
NO0402020700-C;0402020700-C;Kifjorden
NO0320041900-C;0320041900-C;Verrabotnen
NO0101010306-C;0101010306-C;Sandholmene
NO0364030401-C;0364030401-C;Beisfjorden-indre
NO0261030202-C;0261030202-C;Hauglandsosen
NO0363042400-2-C;0363042400-2-C;Sundlandsfjorden
NO0301010800-2-C;0301010800-2-C;Dalsfjorden-indre
NO0362010700-C;0362010700-C;Elsfjorden
NO0261040601-C;0261040601-C;Masfjorden
NO0420031100-C;0420031100-C;Innerpollen
NO0242030302-C;0242030302-C;Kalvikhavet
NO0420020500-C;0420020500-C;Nordfjorden
NO0365011500-C;0365011500-C;Gisløyflaket
NO0363030701-C;0363030701-C;Nevelsfjord-indre
NO0365020902-3-C;0365020902-3-C;Straumsnes
NO0282012600-C;0282012600-C;Moldefjorden
NO0260020600-C;0260020600-C;Åkrafjorden
NO0364030301-C;0364030301-C;Trongskjomen-indre
NO0242011201-C;0242011201-C;Høgsfjorden
NO0360020700-1-C;0360020700-1-C;Tilremfjorden
NO0424020200-C;0424020200-C;Vadsø havn
NO0363030900-1-C;0363030900-1-C;Sjunkfjorden-indre
NO0362010300-C;0362010300-C;Dalsvågen
NO0363040500-C;0363040500-C;Kjerkfjorden-indre
NO0365030902-C;0365030902-C;Malnesfjorden
NO0363030100-2-C;0363030100-2-C;Karlsøyfjorden-nordre
NO0420031400-C;0420031400-C;Vargsundet
NO0101010403-C;0101010403-C;Hunnebotn
NO0401011000-C;0401011000-C;Torskenfjorden
NO0303020601-C;0303020601-C;Hamnesfjord-indre
NO0280021700-C;0280021700-C;Esefjorden
NO0363042500-1-C;0363042500-1-C;Grunnførfjorden-indre
NO0303020200-1-C;0303020200-1-C;Ålvundfjorden
NO0302010901-C;0302010901-C;Tomrefjorden-indre
NO0362040700-1-C;0362040700-1-C;Murholmen
NO0342000030-C;0342000030-C;Hommelværet - Sklinnaflesin
NO0364000030-8-C;0364000030-8-C;Revelsøya
NO0302010300-C;0302010300-C;Nogvafjorden
NO0401030600-C;0401030600-C;Tranøyfjord
NO0403010700-C;0403010700-C;Vannsundet
NO0364021201-2-C;0364021201-2-C;Efjorden
NO0364020400-1-C;0364020400-1-C;Grunnfjorden-indre
NO0101020103-C;0101020103-C;Elingårdskilen
NO0363041700-C;0363041700-C;Lyngvær
NO0132030200-C;0132030200-C;Sniksfjorden
NO0321020101-C;0321020101-C;Rømnesvika
NO0261040203-C;0261040203-C;Lurefjorden
NO0364011900-C;0364011900-C;Glimma
NO0363040600-2-C;0363040600-2-C;Sundstraumen
NO0363040100-C;0363040100-C;Djupfjorden
NO0322020300-C;0322020300-C;Osen
NO0320050700-C;0320050700-C;Veisfjorden
NO0420040900-C;0420040900-C;Gamvikfjorden
NO0424020400-C;0424020400-C;Karlebotn/Stuorravuonna
NO0303011507-C;0303011507-C;Litllauvøya - Storsandøya
NO0301010901-2-C;0301010901-2-C;Hølen-indre
NO0280020401-C;0280020401-C;Fuglset
NO0301020602-C;0301020602-C;Nordangsfjorden-ytre
NO0362040700-3-C;0362040700-3-C;Åmnessundet
NO0321020102-C;0321020102-C;Holkjela
NO0362010500-3-C;0362010500-3-C;Ranfjorden - Storvika
NO0365030600-C;0365030600-C;Skjerfjorden
NO0121000032-C;0121000032-C;Blindleia - Skagerak
NO0242010702-2-C;0242010702-2-C;Stavangerfjorden - indre
NO0301020701-C;0301020701-C;Sykkylvsfjorden-indre
NO0242030303-1-C;0242030303-1-C;Sandsfjorden
NO0401030500-1-C;0401030500-1-C;Reisafjorden
NO0403030200-C;0403030200-C;Lyngseidet
NO0363000031-1-C;0363000031-1-C;Vikbukta
NO0301010503-C;0301010503-C;Gursken-ytre
NO0301010601-C;0301010601-C;Syvdsfjorden-indre
NO0403010500-C;0403010500-C;Helgøysundet
NO0260000034-C;0260000034-C;Gisøya - Fugløysundet
NO0121000300-1-C;0121000300-1-C;Grosfjorden-indre
NO0402010103-C;0402010103-C;Øyfjorden-ytre
NO0320050600-C;0320050600-C;Storfjorden
NO0364011600-C;0364011600-C;Kobbvika
NO0201011000-C;0201011000-C;Åptafjorden
NO0240010204-C;0240010204-C;Tengsvågen
NO0282010700-C;0282010700-C;Berlepollen
NO0261040202-C;0261040202-C;Lurosen
NO0401030800-C;0401030800-C;Valvågen
NO0201020301-C;0201020301-C;Fedafjord-indre
NO0423010900-C;0423010900-C;Ivarsfjorden
NO0362010800-C;0362010800-C;Sørfjorden
NO0361040800-C;0361040800-C;Alstenfjorden
NO0280030400-C;0280030400-C;Dumbefjorden
NO0261040206-C;0261040206-C;Vikaosen - Monslaupen
NO0423011000-C;0423011000-C;Store Skogfjorden
NO0423011603-C;0423011603-C;Tanaelva-ytre
NO0242050100-1-C;0242050100-1-C;Askildsholmen - Killingøy
NO0280010202-C;0280010202-C;Kvitnesosen
NO0365030100-1-C;0365030100-1-C;Prestfjorden
NO0363030400-C;0363030400-C;Nordfjorden
NO0401021200-C;0401021200-C;Mjøsundet
NO0101020601-C;0101020601-C;Oslofjorden
NO0421010400-C;0421010400-C;Sammelsundet
NO0365010202-C;0365010202-C;Sløverfjorden
NO0364000030-2-C;0364000030-2-C;Ofoten
NO0280021500-C;0280021500-C;Vetlefjorden
NO0260040101-C;0260040101-C;Husnesfjorden
NO0423010200-C;0423010200-C;Koifjorden
NO0301021700-C;0301021700-C;Skodjevika
NO0201010900-C;0201010900-C;Lyngdalsfjord-indre
NO0240010400-C;0240010400-C;Marren
NO0403030100-1-C;0403030100-1-C;Lyngen-indre
NO0364020800-1-C;0364020800-1-C;Vikran
NO0424000031-C;0424000031-C;Vardø fyr - Kibergneset
NO0282012100-5-C;0282012100-5-C;Faleidfjorden
NO0201010700-1-C;0201010700-1-C;Indre Spindsfjorden - Håøysundet
NO0320040900-3-C;0320040900-3-C;Ladehammeren
NO0280021200-C;0280021200-C;Gaupnefjorden
NO0402010101-C;0402010101-C;Ørnfjorden
NO0303011501-C;0303011501-C;Sveggevika
NO0420020800-C;0420020800-C;Store Kjerringfjorden
NO0101020603-C;0101020603-C;Holmenfjorden
NO0280030700-C;0280030700-C;Sørefjorden
NO0261020301-C;0261020301-C;Bolstadfjorden
NO0403011200-C;0403011200-C;Sørskardvågen
NO0261020302-C;0261020302-C;Vikafjorden
NO0362011000-1-C;0362011000-1-C;Ranfjorden - Hemneshalvøya
NO0280031300-3-C;0280031300-3-C;Kyllaren
NO0363041500-2-C;0363041500-2-C;Skifjorden-indre
NO0360020400-4-C;0360020400-4-C;Buøya
NO0240010203-C;0240010203-C;Båtavika
NO0110020100-C;0110020100-C;Eksefjorden
NO0361010400-C;0361010400-C;Vegsteinvika
NO0403040600-C;0403040600-C;Oksfjorden
NO0365020400-1-C;0365020400-1-C;Straumen
NO0280021303-C;0280021303-C;Barsnesfjorden
NO0110000500-C;0110000500-C;Brevikstrandfjorden
NO0361040101-C;0361040101-C;Vefsnfjorden-indre
NO0280020200-C;0280020200-C;Risnefjorden
NO0281010300-C;0281010300-C;Brufjorden
NO0422000030-C;0422000030-C;Ytre Porsangen
NO0365030800-C;0365030800-C;Møklandsfjorden
NO0403000030-C;0403000030-C;Grøtøya - Arnøya
NO0364011700-C;0364011700-C;Hamsundspollen
NO0341010900-1-C;0341010900-1-C;Jektvikstraumen
NO0260010600-1-C;0260010600-1-C;Lauvøysundet
NO0121010200-C;0121010200-C;Vestre Bjørkesund - Sønningdalsund
NO0242010900-C;0242010900-C;Riskafjorden
NO0320050403-C;0320050403-C;Hestnessundet
NO0303010500-C;0303010500-C;Batnfjorden
NO0363041600-C;0363041600-C;Djupfjorden
NO0420010400-C;0420010400-C;Bergsfjorden
NO0101040200-2-C;0101040200-2-C;Sandefjordsfjorden-ytre
NO0360011300-1-C;0360011300-1-C;Hardangsfjorden
NO0361050500-C;0361050500-C;Vikafjorden
NO0242010703-C;0242010703-C;Hillevågen
NO0365010300-5-C;0365010300-5-C;Hadselfjorden
NO0280011101-C;0280011101-C;Indre Steinsund
NO0420031000-C;0420031000-C;Rognsundet
NO0282011600-C;0282011600-C;Ålfoten
NO0402021200-C;0402021200-C;Sørbotn
NO0421010200-C;0421010200-C;Sandbukta - Forsølbukta
NO0365030200-C;0365030200-C;Steinlandsfjorden
NO0364011100-C;0364011100-C;Husøy
NO0320010201-2-C;0320010201-2-C;Hopavågen
NO0364050301-1-C;0364050301-1-C;Valvågen
NO0242010101-3-C;0242010101-3-C;Håsteinsfjorden-indre
NO0320040800-2-C;0320040800-2-C;Børsa
NO0402020800-C;0402020800-C;Grøtsundet
NO0421020700-C;0421020700-C;Bakfjorden
NO0261010800-9-C;0261010800-9-C;Byfjorden
NO0402021000-1-C;0402021000-1-C;Håkøya - Grindøysundet
NO0402021000-2-C;0402021000-2-C;Sandnessundet
NO0402020900-8-C;0402020900-8-C;Tromsø indre havn
NO0403030600-1-C;0403030600-1-C;Rotsundet sør
NO0403030600-2-C;0403030600-2-C;Rotsundet nord
NO0402010600-1-C;0402010600-1-C;Rossfjordstraumen
NO0361010700-1-C;0361010700-1-C;Skjærvær
NO0361010700-2-C;0361010700-2-C;Flovær
NO0261010800-4-C;0261010800-4-C;Byfjorden indre del
NO0401011202-1-C;0401011202-1-C;Lavollkjosen
NO0365011300-1-C;0365011300-1-C;Åse
NO0365011300-2-C;0365011300-2-C;Risøysundet-ytre
NO0364020100-1-C;0364020100-1-C;Korsnes
NO0401010100-1-C;0401010100-1-C;Dverberg Havn
NO0364020100-3-C;0364020100-3-C;Tysfjorden
NO0364020100-6-C;0364020100-6-C;Tysfjorden
NO0365000031-3-C;0365000031-3-C;Nykvåg
NO0120010300-4-C;0120010300-4-C;Østerfjorden
NO0121010400-1-C;0121010400-1-C;Lillesandsfjord-Klingsundkilen
NO0121010400-2-C;0121010400-2-C;Lillesandsfjord-ytre
NO0365000032-5-C;0365000032-5-C;Nordmela Havn
NO0365000032-7-C;0365000032-7-C;Bleik Havn
NO0365000032-8-C;0365000032-8-C;Gavlfjorden-ytre
NO0101040400-2-C;0101040400-2-C;Viksfjorden
NO0320030300-10-C;0320030300-10-C;Sagfjorden
NO0320030300-9-C;0320030300-9-C;Åstfjorden - Sagfjorden
NO0120010300-1-C;0120010300-1-C;Kranfjorden
NO0120010300-3-C;0120010300-3-C;Søndeledfjord-ytre
NO0101040400-3-C;0101040400-3-C;Viksfjorden indre
NO0120030500-2-C;0120030500-2-C;Sømskilen-Hasseltangen
NO0120030500-1-C;0120030500-1-C;Nidelven-ytre
NO0422010100-13-C;0422010100-13-C;Klubben
NO0422010100-16-C;0422010100-16-C;Porsangerfjorden-indre
NO0101040400-1-C;0101040400-1-C;Viksfjorden
NO0420040100-2-C;0420040100-2-C;Breivikfjorden
NO0423000030-10-C;0423000030-10-C;Berlevåg ytre havn
NO0424020100-15-C;0424020100-15-C;Vadsø - øya vest
NO0424010100-1-C;0424010100-1-C;Østervågen
NO0424010100-2-C;0424010100-2-C;Bussesundet
NO0402010600-2-C;0402010600-2-C;Rossfjordvatnet
NO0401030100-7-C;0401030100-7-C;Gisundet småbåthavn Finnsnes
NO0401030100-8-C;0401030100-8-C;Gisundet ved Finnsnes
NO0402020900-10-C;0402020900-10-C;Skattøra småbåthavn Tromsø
NO0402020900-11-C;0402020900-11-C;Tromsøysundet - Tromsø
NO0303010902-6-C;0303010902-6-C;Tingvollfjorden ved Raudsand
NO0364050200-9-C;0364050200-9-C;Skrova
NO0242020100-C;0242020100-C;Talgjefjorden
NO0420030101-3-C;0420030101-3-C;Vassdalsbotn
NO0420030101-4-C;0420030101-4-C;Øksfjorden-ytre
NO0420040100-1-C;0420040100-1-C;Breivikbotn
NO0320030300-14-C;0320030300-14-C;Aunbugen
NO0320030300-16-C;0320030300-16-C;Litlskjæret småbåthavn
NO0320030300-15-C;0320030300-15-C;Åstfjorden, midtre del
NO0320010202-6-C;0320010202-6-C;Hemnskjelsundet
NO0321030500-12-C;0321030500-12-C;Grøttingssanden
NO0321030500-11-C;0321030500-11-C;Linesfjorden
NO0320050401-4-C;0320050401-4-C;Hestnes
NO0320050401-3-C;0320050401-3-C;Straumfjorden
NO0321030200-1-C;0321030200-1-C;Monstadbukta
NO0321030200-2-C;0321030200-2-C;Åfjorden
NO0421000032-4-C;0421000032-4-C;Gjesvær
NO0421000032-6-C;0421000032-6-C;Masøyfjorden-nord
NO0401020400-1-C;0401020400-1-C;Bergsvågen indre
NO0401010502-2-C;0401010502-2-C;Straumen ytre Kvæfjord
NO0401020702-1-C;0401020702-1-C;Grov ytre
NO0401020701-1-C;0401020701-1-C;Grov indre
NO0401020701-2-C;0401020701-2-C;Grovfjorden-indre
NO0403020602-1-C;0403020602-1-C;Storstraumen indre - Ullsfjorden
NO0403020602-2-C;0403020602-2-C;Sørfjorden-ytre
NO0364050200-10-C;0364050200-10-C;Molldøra - Skrovsvedet
NO0423000030-11-C;0423000030-11-C;Vardnesodden - Kjølnes
